카사, 53, 186
나마, 86, 184
파바, 89, 172
사바, 58, 175
다자, 58, 152
라타, 69, 185
사아, 76, 188
다차, 67, 154
자자, 45, 156
타사, 60, 193
다나, 90, 155
나타, 42, 200
아파, 92, 162
아가, 91, 185
아파, 84, 154
하카, 75, 159
바파, 47, 196
바자, 49, 188
하하, 55, 171
아자, 43, 200
다다, 97, 180
타자, 42, 192
타차, 85, 154
다마, 51, 175
아카, 57, 196
다파, 53, 188
자라, 63, 181
카자, 49, 185
카아, 42, 171
마마, 83, 199
타타, 61, 194
마파, 51, 186
차차, 46, 191
타하, 58, 191
라자, 91, 168
사아, 77, 194
나자, 90, 152
차아, 95, 180
가사, 48, 182
라카, 94, 189
사나, 92, 186
라차, 92, 182
나카, 57, 180
가자, 73, 167
마사, 77, 160
사아, 53, 174
사차, 75, 178
다카, 42, 160
자라, 88, 200
사나, 65, 184
사차, 40, 199
사바, 55, 153
아마, 71, 153
차카, 52, 191
나마, 69, 175
바바, 66, 181
하라, 98, 193
라자, 95, 167
나사, 51, 172
차차, 57, 157
카파, 41, 154
파자, 96, 165
다바, 46, 164
자파, 80, 163
라라, 61, 158
타카, 63, 150
마차, 60, 156
카하, 100, 181
카자, 89, 177
카차, 55, 176
라카, 98, 159
바나, 57, 157
차나, 93, 190
카아, 85, 185
타카, 92, 176
파가, 99, 172
하나, 91, 198
마라, 92, 180
카다, 85, 199
차나, 90, 158
파아, 52, 167
나다, 60, 171
가라, 54, 168
바다, 51, 192
나라, 53, 186
파가, 96, 182
타파, 84, 169
다카, 95, 154
아하, 97, 178
마하, 61, 189
하가, 66, 165
가라, 50, 194
가라, 100, 193
아자, 89, 175
하하, 81, 151
카바, 47, 195
타차, 70, 155
카타, 97, 180
파나, 79, 175
사바, 57, 164
차차, 57, 200
타차, 89, 152
차나, 57, 159
라자, 51, 193
나파, 43, 182
타라, 49, 193
마마, 64, 174
카카, 49, 155
라가, 82, 168
다자, 86, 173
하다, 100, 198
다가, 91, 155
가가, 50, 177
파가, 79, 152
사바, 71, 169
바자, 61, 185
하마, 86, 160
마바, 87, 190
카카, 75, 153
카타, 48, 172
바가, 46, 159
가파, 62, 159
다사, 93, 198
가차, 54, 166
차차, 95, 165
카마, 62, 197
마파, 99, 169
나라, 73, 185
자바, 57, 170
카라, 40, 198
가하, 97, 181
라다, 66, 194
하바, 62, 197
마아, 76, 191
다타, 86, 194
차라, 41, 164
아마, 92, 200
하타, 91, 178
타카, 47, 185
사차, 94, 184
카타, 88, 158
마다, 89, 185
가파, 81, 191
바사, 85, 182
파마, 83, 180
사다, 84, 177
마타, 40, 163
차나, 69, 179
하자, 70, 166
사마, 68, 176
마바, 90, 155
가라, 67, 198
자하, 77, 186
차사, 67, 193
사타, 68, 171
가다, 48, 158
나나, 80, 195
차타, 91, 152
파아, 87, 159
파라, 53, 164
카차, 55, 180
다나, 52, 189
라라, 98, 172
다아, 88, 181
라다, 82, 167
바마, 65, 191
자다, 90, 153
나바, 84, 150
자라, 41, 200
자나, 73, 178
파차, 91, 158
타바, 72, 157
차아, 67, 191
타파, 96, 197
타타, 85, 156
나카, 85, 159
가하, 64, 189
라하, 58, 197
카자, 62, 186
아아, 56, 194
타나, 51, 157
아차, 68, 199
파다, 93, 179
라마, 91, 166
카라, 92, 158
나아, 54, 157
가파, 57, 153
자다, 100, 151
사바, 71, 152
자하, 81, 174
나자, 67, 185
카사, 70, 161
파가, 90, 186
다나, 95, 165
자나, 57, 200
바파, 58, 162
다가, 42, 162
카파, 50, 166
나아, 58, 168
아아, 67, 187
아라, 87, 173
파가, 53, 155
타바, 87, 196
라하, 65, 190
라사, 54, 162
아아, 88, 196
아아, 65, 196
마타, 100, 184
사하, 56, 150
나다, 100, 150
차자, 53, 150
차라, 48, 163
아라, 68, 170
사나, 76, 191
다하, 57, 178
아사, 45, 180
카마, 40, 186
타사, 79, 182
가라, 52, 176
바하, 41, 152
카마, 88, 154
사하, 60, 200
나자, 62, 177
파나, 82, 191
카사, 62, 196
자파, 48, 170
하차, 82, 176
나라, 50, 159
하자, 43, 158
라타, 46, 165
사파, 80, 186
바나, 45, 177
파파, 89, 150
나파, 74, 200
파타, 67, 166
다사, 53, 182
사자, 76, 166
가자, 96, 157
하사, 99, 160
바카, 61, 169
하나, 79, 182
카나, 92, 180
다마, 48, 162
차가, 42, 181
가마, 52, 158
다나, 64, 163
다차, 56, 184
아자, 78, 155
자마, 77, 162
하사, 77, 197
카카, 57, 178
다아, 52, 186
사자, 78, 159
마가, 58, 158
바사, 99, 155
차카, 84, 185
다가, 70, 161
바차, 100, 190
타사, 80, 164
파차, 89, 164
가사, 47, 179
사타, 81, 156
다마, 56, 166
자카, 65, 150
바타, 49, 197
아자, 86, 184
타가, 68, 193
나차, 92, 194
가사, 98, 183
차차, 50, 168
라차, 69, 178
라라, 47, 168
자다, 99, 190
바타, 79, 157
라타, 82, 182
사가, 96, 159
파타, 56, 181
하다, 86, 188
마파, 47, 172
사차, 59, 165
라카, 88, 160
타파, 92, 173
아사, 47, 178
라하, 76, 172
아사, 75, 188
하마, 93, 189
타차, 83, 167
타나, 91, 187
마가, 99, 188
차타, 79, 162
타자, 67, 193
사바, 73, 199
라파, 72, 175
타파, 84, 189
타파, 42, 183
가파, 79, 191
차아, 76, 169
파라, 83, 167
하자, 48, 182
다하, 66, 163
가나, 52, 186
자하, 55, 171
다자, 65, 156
카라, 47, 161
다아, 98, 161
다나, 50, 184
라가, 68, 179
가사, 68, 159
바바, 78, 167
하하, 64, 189
자차, 43, 177
파하, 91, 189
타다, 77, 163
마가, 81, 193
카차, 65, 162
사바, 92, 184
마타, 57, 175
하자, 65, 164
카마, 68, 188
하가, 53, 167
아사, 81, 174
타자, 41, 158
가라, 78, 192
차다, 60, 175
마카, 85, 151
나파, 93, 154
라가, 57, 153
가자, 64, 161
하다, 79, 196
가나, 43, 179
